,Birth,Death,Dimension
124,0.0,0.28575339913368225,0
125,0.0,0.2869337797164917,0
126,0.0,0.28823602199554443,0
127,0.0,0.2891694903373718,0
128,0.0,0.28925421833992004,0
129,0.0,0.28962042927742004,0
130,0.0,0.2898603081703186,0
131,0.0,0.2899568974971771,0
132,0.0,0.2900189757347107,0
133,0.0,0.2904737591743469,0
134,0.0,0.2904892563819885,0
135,0.0,0.29055118560791016,0
136,0.0,0.29066646099090576,0
137,0.0,0.29074904322624207,0
138,0.0,0.29089346528053284,0
139,0.0,0.29092955589294434,0
140,0.0,0.2909913957118988,0
141,0.0,0.29159560799598694,0
142,0.0,0.2916436195373535,0
143,0.0,0.2929914593696594,0
144,0.0,0.29348084330558777,0
145,0.0,0.2976844012737274,0
146,0.0,0.30045297741889954,0
147,0.0,0.3030165135860443,0
148,0.0,0.30428770184516907,0
149,0.0,0.30705538392066956,0
150,0.0,0.3106815218925476,0
151,0.0,0.3127267062664032,0
152,0.0,0.3173988163471222,0
153,0.0,0.3212242126464844,0
154,0.0,0.32523682713508606,0
155,0.0,0.3329864740371704,0
156,0.0,0.3348895311355591,0
157,0.0,0.3426952064037323,0
158,0.0,0.3504696786403656,0
159,0.0,0.3507862687110901,0
160,0.0,0.35090312361717224,0
161,0.0,0.3509230613708496,0
162,0.0,0.3509814739227295,0
163,0.0,0.3520539700984955,0
164,0.0,0.35351237654685974,0
165,0.0,0.35421180725097656,0
166,0.0,0.3553294241428375,0
167,0.0,0.3574996590614319,0
168,0.0,0.35793575644493103,0
169,0.0,0.3597777187824249,0
170,0.0,0.3606036603450775,0
171,0.0,0.3606036603450775,0
172,0.0,0.3608226776123047,0
173,0.0,0.3610013723373413,0
174,0.0,0.36276575922966003,0
175,0.0,0.3645312190055847,0
176,0.0,0.3646998703479767,0
177,0.0,0.36512190103530884,0
178,0.0,0.3663181662559509,0
179,0.0,0.36712804436683655,0
180,0.0,0.3672642111778259,0
181,0.0,0.36891597509384155,0
182,0.0,0.37352243065834045,0
183,0.0,0.3741483688354492,0
184,0.0,0.3748839795589447,0
185,0.0,0.3762565553188324,0
186,0.0,0.37919914722442627,0
187,0.0,0.3800881505012512,0
188,0.0,0.3801683783531189,0
189,0.0,0.3813161551952362,0
190,0.0,0.38162678480148315,0
191,0.0,0.38344359397888184,0
192,0.0,0.38417965173721313,0
193,0.0,0.38437482714653015,0
194,0.0,0.3844268321990967,0
195,0.0,0.3862978219985962,0
196,0.0,0.3884996771812439,0
197,0.0,0.3910664916038513,0
198,0.0,0.39200764894485474,0
199,0.0,0.39345648884773254,0
200,0.0,0.39477843046188354,0
201,0.0,0.395461767911911,0
202,0.0,0.3986853361129761,0
203,0.0,0.40002626180648804,0
204,0.0,0.40058955550193787,0
205,0.0,0.4028436541557312,0
206,0.0,0.40505433082580566,0
207,0.0,0.4078357517719269,0
208,0.0,0.40965962409973145,0
209,0.0,0.41163575649261475,0
210,0.0,0.4119429588317871,0
211,0.0,0.4128111004829407,0
212,0.0,0.4129903018474579,0
213,0.0,0.41327714920043945,0
214,0.0,0.4133243262767792,0
215,0.0,0.4133606255054474,0
216,0.0,0.413389652967453,0
217,0.0,0.4135770797729492,0
218,0.0,0.4145491421222687,0
219,0.0,0.4152914583683014,0
220,0.0,0.41596513986587524,0
221,0.0,0.41639283299446106,0
222,0.0,0.4163988530635834,0
223,0.0,0.4168297052383423,0
224,0.0,0.41742902994155884,0
225,0.0,0.4178025722503662,0
226,0.0,0.41788753867149353,0
227,0.0,0.4179030954837799,0
228,0.0,0.41854986548423767,0
229,0.0,0.41888901591300964,0
230,0.0,0.419033408164978,0
231,0.0,0.4192517101764679,0
232,0.0,0.4195104241371155,0
233,0.0,0.4195998013019562,0
234,0.0,0.4197904169559479,0
235,0.0,0.4203748404979706,0
236,0.0,0.42067089676856995,0
237,0.0,0.4206756353378296,0
238,0.0,0.4207517206668854,0
